data,miasto,kraj,temperatura_dzien,temperatura_noc
2024-01-19,Poznan,Polska,-1,-2
2024-01-20,Poznan,Polska,1,-5
2024-01-21,Poznan,Polska,2,-2
2024-01-22,Poznan,Polska,6,2
2024-01-23,Poznan,Polska,9,2
2024-01-24,Poznan,Polska,4,-1
2024-01-25,Poznan,Polska,6,2
2024-01-19,Zakopane,Polska,-4,-8
2024-01-20,Zakopane,Polska,-1,-7
2024-01-21,Zakopane,Polska,2,-4
2024-01-22,Zakopane,Polska,5,1
2024-01-23,Zakopane,Polska,3,-1
2024-01-24,Zakopane,Polska,6,1
2024-01-25,Zakopane,Polska,2,-3
2024-01-19,Madryt,Hiszpania,7,1
2024-01-20,Madryt,Hiszpania,8,2
2024-01-21,Madryt,Hiszpania,11,1
2024-01-22,Madryt,Hiszpania,11,3
2024-01-23,Madryt,Hiszpania,14,4
2024-01-24,Madryt,Hiszpania,17,6
2024-01-25,Madryt,Hiszpania,18,5
2024-01-19,Helsinki,Finlandia,-7,-19
2024-01-20,Helsinki,Finlandia,-11,-17
2024-01-21,Helsinki,Finlandia,1,0
2024-01-22,Helsinki,Finlandia,1,1
2024-01-23,Helsinki,Finlandia,3,-1
2024-01-24,Helsinki,Finlandia,1,-2
2024-01-25,Helsinki,Finlandia,-1,-6
