DATA_MC,KOD_WOJ,WOJEWODZTWO,PLEC,WIEK,LICZBA
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,63,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,23,24
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,56,3
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,29,24
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,44,6
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,18,31
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,25,21
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,38,9
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,43,5
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,30,16
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,64,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,39,8
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,26,22
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,37,12
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,21,46
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,35,13
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,41,10
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,32,10
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,45,4
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,62,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,20,119
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,53,3
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,40,6
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,47,6
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,54,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,51,4
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,48,4
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,66,2
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,65,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,28,24
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,24,40
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,46,5
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,42,11
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,50,5
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,36,16
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,33,16
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,22,29
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,31,14
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,49,7
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,55,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,34,16
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,52,3
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,58,1
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,19,555
2024-01,02,WOJ. DOLNOŚLĄSKIE,K,27,18
2024-01,02,WOJ. DOLNOŚLĄSKIE,M,45,7
2024-01,02,WOJ. DOLNOŚLĄSKIE,M,31,14
